"","symbols","model_mape","model_rmse"
"1","RELIANCE.NS","2.63","88.98"
"2","HDFCBANK.NS","1.96","42.78"
"3","ITC.NS","1.69","9.2"
"4","INFY.NS","6.25","91.24"
"5","IFBIND.NS","11.23","227.45"
"6","HINDUNILVR.NS","6.56","176.15"
"7","TATAPOWER.NS","6.15","31.33"
"8","BIOCON.NS","11.24","37.21"
"9","BHARTIARTL.NS","8.86","182.37"
"10","INDIGO.NS","13.13","540.8"
"11","ALKYLAMINE.NS","7.44","159.77"
"12","HEROMOTOCO.NS","4.12","269.47"
"13","HDFCLIFE.NS","8.3","50.38"
"14","ADANIGREEN.NS","7.82","143.06"
"15","BOMDYEING.NS","14.98","29.33"
