"","symbols","model_mape","model_rmse"
"1","RELIANCE.NS","1.04","43.69"
"2","HDFCBANK.NS","1.15","26.58"
"3","ITC.NS","0.77","5.47"
"4","INFY.NS","0.55","9.91"
"5","IFBIND.NS","3.1","76.86"
"6","HINDUNILVR.NS","1.45","57.34"
"7","TATAPOWER.NS","1.65","10.03"
"8","BIOCON.NS","2.05","7.74"
"9","BHARTIARTL.NS","0.89","17.05"
"10","INDIGO.NS","1.65","88.1"
"11","ALKYLAMINE.NS","1.77","52.77"
"12","HEROMOTOCO.NS","1.66","130.32"
"13","HDFCLIFE.NS","1.62","15.41"
"14","ADANIGREEN.NS","1.8","45.56"
"15","BOMDYEING.NS","1.54","3.67"
