"","symbols","model_mape","model_rmse"
"1","RELIANCE.NS","1.04","43.69"
"2","HDFCBANK.NS","1.15","26.58"
"3","ITC.NS","0.77","5.47"
"4","INFY.NS","0.55","9.91"
"5","IFBIND.NS","2.98","75.08"
"6","HINDUNILVR.NS","1.42","57.12"
"7","TATAPOWER.NS","1.5","9.52"
"8","BIOCON.NS","2.05","7.74"
"9","BHARTIARTL.NS","0.82","15.89"
"10","INDIGO.NS","1.59","90.16"
"11","ALKYLAMINE.NS","1.77","52.77"
"12","HEROMOTOCO.NS","1.64","133.47"
"13","HDFCLIFE.NS","1.62","15.41"
"14","ADANIGREEN.NS","1.63","41.14"
"15","BOMDYEING.NS","1.54","3.67"
