"","symbols","model_mape","model_rmse"
"1","RELIANCE.NS","2.12","73.9"
"2","HDFCBANK.NS","1.63","36.31"
"3","ITC.NS","2.13","10.58"
"4","INFY.NS","0.86","15.42"
"5","IFBIND.NS","7.99","140.81"
"6","HINDUNILVR.NS","2.41","74.25"
"7","TATAPOWER.NS","3.26","17.77"
"8","BIOCON.NS","8.11","29.2"
"9","BHARTIARTL.NS","3.98","58.61"
"10","INDIGO.NS","6.54","281.72"
"11","ALKYLAMINE.NS","2.22","52.97"
"12","HEROMOTOCO.NS","4.11","224.62"
"13","HDFCLIFE.NS","5.56","33.41"
"14","ADANIGREEN.NS","2.37","50.15"
"15","BOMDYEING.NS","2.38","5.08"
